160, 1, 1, 1.2971e+02
160, 1, 2, 1.3625e+02
160, 1, 3, 1.3596e+02
160, 1, 4, 1.3650e+02
160, 1, 5, 1.3597e+02
160, 1, 6, 1.3638e+02
160, 1, 7, 1.3564e+02
160, 1, 8, 1.3423e+02
160, 2, 1, 1.3269e+02
160, 2, 2, 1.3544e+02
160, 2, 3, 1.3503e+02
160, 2, 4, 1.3576e+02
160, 2, 5, 1.3575e+02
160, 2, 6, 1.3576e+02
160, 2, 7, 1.3617e+02
160, 2, 8, 1.3507e+02
160, 3, 1, 1.3097e+02
160, 3, 2, 1.3532e+02
160, 3, 3, 1.3560e+02
160, 3, 4, 1.3469e+02
160, 3, 5, 1.3574e+02
160, 3, 6, 1.3582e+02
160, 3, 7, 1.3537e+02
160, 3, 8, 1.3619e+02
160, 4, 1, 1.3533e+02
160, 4, 2, 1.3323e+02
160, 4, 3, 1.3490e+02
160, 4, 4, 1.3659e+02
160, 4, 5, 1.3382e+02
160, 4, 6, 1.3531e+02
160, 4, 7, 1.3518e+02
160, 4, 8, 1.3531e+02
160, 5, 1, 1.3479e+02
160, 5, 2, 1.3533e+02
160, 5, 3, 1.3531e+02
160, 5, 4, 1.3647e+02
160, 5, 5, 1.3624e+02
160, 5, 6, 1.3598e+02
160, 5, 7, 1.3490e+02
160, 5, 8, 1.3604e+02
160, 6, 1, 1.3320e+02
160, 6, 2, 1.3576e+02
160, 6, 3, 1.3604e+02
160, 6, 4, 1.3550e+02
160, 6, 5, 1.3613e+02
160, 6, 6, 1.3686e+02
160, 6, 7, 1.3598e+02
160, 6, 8, 1.3569e+02
160, 7, 1, 1.3530e+02
160, 7, 2, 1.3562e+02
160, 7, 3, 1.3377e+02
160, 7, 4, 1.3593e+02
160, 7, 5, 1.3496e+02
160, 7, 6, 1.3530e+02
160, 7, 7, 1.3541e+02
160, 7, 8, 1.3543e+02
160, 8, 1, 1.3441e+02
160, 8, 2, 1.3467e+02
160, 8, 3, 1.3500e+02
160, 8, 4, 1.3567e+02
160, 8, 5, 1.3497e+02
160, 8, 6, 1.3546e+02
160, 8, 7, 1.3621e+02
160, 8, 8, 1.3438e+02
